,State_Name,Druguse2013_14,Cocaine2013_14,Heroin2013_14,AUD2013_14,Marijuana2013_14
1,District of Columbia,4.177,3.643,0.534,10.196,12.715
2,New Hampshire,3.196,2.636,0.560,7.982,11.665
3,Delaware,3.194,1.978,1.216,6.529,8.226
4,Colorado,3.043,2.738,0.305,7.927,15.170
5,Connecticut,2.934,2.332,0.603,7.179,8.559
6,Vermont,2.878,2.375,0.503,7.488,13.401
7,Massachusetts,2.868,2.497,0.371,7.003,12.013
8,New York,2.838,2.431,0.406,6.971,8.596
9,Arizona,2.719,2.384,0.335,8.063,8.850
10,New Mexico,2.629,2.303,0.326,7.367,9.726
11,Oregon,2.480,2.116,0.364,7.312,12.591
12,California,2.473,2.269,0.204,7.068,9.253
13,Rhode Island,2.437,2.128,0.309,8.146,12.942
14,Alaska,2.423,1.653,0.769,7.249,12.160
15,Washington,2.420,2.041,0.380,6.928,13.064
16,Florida,2.420,2.090,0.330,6.306,7.589
17,Wisconsin,2.218,1.935,0.283,8.190,6.386
18,Kentucky,2.215,1.673,0.542,5.857,6.863
19,Pennsylvania,2.148,1.624,0.524,7.012,7.308
20,Illinois,2.142,1.845,0.297,6.578,7.735
21,Louisiana,2.059,1.747,0.311,6.401,6.175
22,Virginia,2.033,1.679,0.354,7.504,6.957
23,Maine,2.008,1.488,0.520,5.970,12.914
24,Nevada,1.950,1.699,0.251,7.169,7.743
25,Ohio,1.932,1.485,0.446,7.074,7.023
26,Maryland,1.921,1.441,0.480,7.060,8.605
27,New Jersey,1.893,1.412,0.481,6.816,6.294
28,North Carolina,1.871,1.534,0.338,6.508,6.724
29,Hawaii,1.778,1.649,0.130,7.193,7.924
30,Georgia,1.743,1.553,0.190,6.613,7.957
31,Kansas,1.699,1.460,0.239,7.921,6.393
32,North Dakota,1.693,1.353,0.341,8.150,5.791
33,Wyoming,1.683,1.271,0.413,7.949,6.329
34,Indiana,1.647,1.290,0.358,7.097,7.638
35,Texas,1.585,1.409,0.176,6.952,5.919
36,Minnesota,1.568,1.309,0.259,6.723,7.335
37,Nebraska,1.543,1.234,0.308,8.030,5.812
38,Iowa,1.539,1.358,0.180,6.593,5.002
39,Montana,1.538,1.291,0.247,8.042,10.200
40,Alabama,1.537,1.309,0.228,6.065,5.629
41,West Virginia,1.511,1.246,0.265,6.595,6.366
42,South Carolina,1.510,1.205,0.304,6.235,6.614
43,Utah,1.498,1.186,0.312,5.861,5.608
44,Missouri,1.484,1.211,0.273,6.754,8.136
45,Tennessee,1.454,1.165,0.289,5.682,5.527
46,Michigan,1.448,1.120,0.329,6.493,10.404
47,Idaho,1.276,1.024,0.252,7.066,6.337
48,Mississippi,1.249,1.051,0.198,6.189,5.874
49,Oklahoma,1.225,1.026,0.199,6.838,6.299
50,Arkansas,1.187,0.985,0.202,5.511,6.754
51,South Dakota,1.155,0.959,0.196,8.135,4.758
,Average,2.041,1.683,0.357,7.069,8.272